id;driver;pick_up_date;repair_date;delivery_date;r_order_num;inv_order_num;status_o;notes
1;portal reboot;2022-07-19T18:10:22;2022-07-20T01:52:49;2022-07-19T10:58:00;Peso Handcrafted;connect Keys online;REPAIRED;circuit Account Outdoors
2;integrate e-commerce;2022-07-19T16:31:17;2022-07-19T17:21:37;2022-07-19T19:28:08;Slovenia Cotton;Cotton;DELIVERED;Finland Small generate
3;web-enabled Oro Awesome;2022-07-20T02:57:09;2022-07-19T22:22:26;2022-07-20T03:56:06;Bedfordshire;transitional;PICKED_UP;Practical impactful protocol
4;Lead RSS channels;2022-07-19T19:28:31;2022-07-19T11:12:57;2022-07-19T16:31:01;Hryvnia Games Grocery;Uruguay virtual Granite;REPAIRED;Cambridgeshire invoice bypassing
5;Center;2022-07-20T03:20:45;2022-07-19T16:39:57;2022-07-19T10:59:36;ADP methodical;hacking;DELIVERED;primary
6;client-server pink Harbors;2022-07-20T03:29:05;2022-07-20T05:27:28;2022-07-20T09:41:33;France tertiary ivory;Assistant payment payment;TBR;Chips Denar Belarus
7;niches software Money;2022-07-20T09:50:44;2022-07-20T04:34:58;2022-07-19T22:15:46;Tasty;payment virtual;PICKED_UP;Future schemas Mouse
8;Rubber;2022-07-20T03:11:20;2022-07-19T21:09:50;2022-07-19T19:09:28;Universal Rubber;Senegal;TBR;dot-com Engineer
9;Money input Berkshire;2022-07-19T13:33:34;2022-07-19T20:39:03;2022-07-19T11:29:13;redefine;Tasty;TBR;Chicken Avon generate
10;Oro;2022-07-19T17:54:00;2022-07-19T17:27:39;2022-07-20T03:29:00;Savings Refined;virtual Account;PICKED_UP;Aruba
